quarter,UK real GDP,UK nominal GDP,UK CPI,UK unemployment rate,UK corporate profits,UK household income,UK residential property price index,UK commercial real estate price index - aggregate,UK commercial real estate price index - prime,UK commercial real estate price index - secondary,UK equity prices,Bank Rate,Sterling IG corporate bond spread,Sterling HY corporate bond spread,Secured lending to UK individuals,Consumer credit to UK individuals,Lending to UK PNFCs,PPP-weighted World real GDP,Oil price,Volatility index,GBP-EUR exchange rate index,GBP-USD exchange rate index,Euro area real GDP,France real GDP,Germany real GDP,Ireland real GDP,Euro area consumer price index,Euro area unemployment rate,ECB policy rate,Euro area residential property price index,Euro area commercial real estate price index,US real GDP,US unemployment rate,US equity prices,US policy rate,US residential real estate price index,US commercial real estate price index,US dollar IG corporate bond spread,US dollar HY corporate bond spread,China real GDP,China household income growth,China residential property price index,Hong Kong real GDP,Hong Kong unemployment rate,Hong Kong residential property price index,Hong Kong commercial real estate price index,India real GDP,Singapore real GDP,South Africa real GDP,period_kind
Q3 2008,423618.0,390964.0,85.7,5.9,180707.5,269388.0,79.4,,,,72.4,5.0,243.3,872.6,4.9,4.7,9.0,76.8,115.9,25.0,109.2,152.5,96.9,95.0,92.2,68.1,91.2,7.6,3.3,99.1,94.5,88.6,6.0,57.3,2.0,87.2,79.5,313.7,831.9,51.9,15.4,,79.9,3.3,40.3,48.9,56.7,68.5,87.9,history
Q4 2008,414037.0,384818.0,85.8,6.4,175685.4,272876.0,75.7,,,,56.7,3.4,409.3,1927.8,3.1,3.7,3.8,76.5,55.9,58.3,103.4,126.6,95.2,93.6,90.4,65.3,91.0,8.1,2.0,97.9,92.8,86.7,6.9,41.7,1.1,84.0,75.8,574.2,1760.2,52.5,13.8,,78.3,3.9,35.3,41.9,56.8,66.1,87.4,history
Q1 2009,407291.0,378609.0,85.4,7.1,171761.3,266004.0,73.1,,,,54.0,1.1,491.5,2322.9,1.6,2.4,2.8,76.1,45.0,44.9,95.5,115.6,92.3,92.0,86.3,65.5,90.3,9.0,0.5,96.5,90.8,85.5,8.3,37.1,0.3,80.8,71.1,530.4,1695.2,53.5,10.2,,75.6,5.0,35.3,37.0,55.7,64.5,86.0,history
Q2 2009,406353.0,377963.0,86.4,7.8,165636.1,275581.0,73.0,,,,57.8,0.5,442.5,1907.2,0.8,1.1,-1.2,75.8,59.2,33.1,98.7,124.9,92.1,91.9,86.4,65.3,91.1,9.6,0.3,95.2,88.6,85.4,9.3,40.8,0.3,79.6,60.8,414.3,1279.3,55.7,9.3,,78.3,5.3,38.3,40.7,59.0,67.4,85.7,history
Q3 2009,406641.0,380205.0,86.9,7.8,167687.8,277402.0,75.5,,,,64.2,0.5,287.0,1132.9,0.6,-0.6,-3.2,76.2,68.3,25.5,99.6,132.2,92.4,92.1,86.9,64.2,90.9,9.9,0.3,95.0,88.3,85.7,9.6,45.5,0.3,79.8,52.4,253.5,903.2,57.3,8.4,,78.7,5.4,41.5,45.8,60.5,70.3,85.9,history
Q4 2009,408298.0,382682.0,87.6,7.8,166100.8,282124.0,77.4,,,,71.3,0.5,228.5,766.8,0.7,-1.2,-2.5,77.6,74.9,23.0,96.0,131.6,92.9,92.7,87.7,63.9,91.4,10.1,0.3,95.4,87.2,86.5,9.9,49.8,0.3,79.6,52.8,203.5,718.7,58.7,7.3,,80.2,5.1,43.4,48.6,61.8,70.0,86.5,history
Q1 2010,410542.0,387526.0,88.2,8.0,171972.2,284260.0,78.3,,,,73.8,0.5,189.5,626.6,0.8,-1.8,-4.3,78.9,76.8,20.2,97.8,125.6,93.3,93.1,88.4,65.6,91.4,10.2,0.3,95.4,87.1,86.9,9.8,51.4,0.3,78.8,51.0,170.3,620.5,60.0,9.8,,81.7,4.7,46.0,51.1,63.4,75.7,87.6,history
Q2 2010,414699.0,393419.0,89.3,7.9,175893.7,287121.0,78.9,,,,73.5,0.5,198.9,570.0,0.8,-2.2,-4.1,80.2,78.7,26.3,101.8,120.2,94.2,93.7,90.2,66.0,92.6,10.3,0.3,96.1,88.4,87.8,9.6,51.9,0.3,78.7,56.0,175.5,623.6,61.6,10.6,,83.1,4.6,47.9,53.3,64.9,79.9,88.2,history
Q3 2010,417024.0,394272.0,89.6,7.8,174550.0,290613.0,78.2,,,,72.9,0.5,212.8,572.8,0.8,-1.9,-3.4,81.2,76.4,24.3,104.1,125.0,94.6,94.1,90.9,66.5,92.4,10.2,0.3,96.3,89.0,88.3,9.5,50.1,0.3,77.5,56.8,184.3,652.8,63.0,11.2,,83.9,4.3,50.4,55.4,66.8,78.0,89.0,history
Q4 2010,417507.0,397222.0,90.5,7.9,177872.8,289818.0,77.1,,,,79.3,0.5,209.9,569.1,0.5,-1.3,-3.5,82.0,86.9,19.3,101.1,127.3,95.1,94.7,91.6,66.0,93.2,10.1,0.3,97.0,89.4,88.9,9.5,55.1,0.3,76.6,58.8,169.9,570.0,64.5,13.7,,85.2,4.0,53.1,60.7,68.4,80.3,89.8,history
Q1 2011,419828.0,406938.0,91.8,7.8,185731.0,287218.0,77.1,,,,82.0,0.5,201.1,545.6,0.5,-1.4,-2.4,82.8,105.2,18.5,101.6,129.2,95.9,95.7,93.3,65.7,93.6,10.0,0.3,97.2,89.6,88.6,9.0,59.6,0.3,75.7,61.1,150.0,478.7,66.2,12.3,57.8,87.6,3.6,57.2,66.2,69.6,82.6,90.5,history
Q2 2011,420109.0,404307.0,93.3,7.9,183326.9,289804.0,77.1,,,,81.8,0.5,196.5,559.7,0.5,-0.7,-1.5,83.6,117.0,17.4,98.3,131.4,95.9,95.7,93.5,66.5,95.1,10.0,0.5,97.2,91.5,89.2,9.1,60.3,0.3,75.3,60.3,149.4,493.3,67.7,14.2,58.1,87.2,3.6,60.7,72.1,70.5,82.7,90.9,history
Q3 2011,421918.0,406699.0,93.8,8.3,186937.9,291142.0,77.2,,,,75.4,0.5,260.8,746.6,0.5,-0.3,-2.0,84.3,112.9,30.4,98.9,129.7,95.9,96.0,93.9,65.9,94.9,10.2,0.8,97.3,91.7,89.4,9.0,56.1,0.3,74.9,60.3,198.2,661.7,69.0,14.9,58.3,87.4,3.3,60.5,74.0,70.4,84.2,91.5,history
Q4 2011,422965.0,410330.0,94.7,8.4,187946.7,292648.0,77.1,,,,74.3,0.5,325.0,892.8,0.6,-0.9,-2.9,85.1,109.3,29.9,101.3,126.7,95.6,96.2,93.9,65.9,95.9,10.6,0.3,96.7,91.3,90.4,8.6,56.0,0.3,73.9,64.1,245.8,753.3,70.1,15.4,57.3,87.8,3.3,59.5,72.8,71.6,83.9,92.1,history
Q1 2012,424834.0,412672.0,95.1,8.2,187513.7,295347.0,76.9,,,,79.9,0.5,298.4,823.6,0.7,-0.6,-2.9,85.8,118.5,18.3,104.0,126.6,95.4,96.1,94.2,65.5,96.1,10.9,0.3,96.4,91.2,91.0,8.3,61.6,0.3,73.8,64.1,212.6,625.0,71.3,14.0,57.4,88.0,3.3,60.6,72.3,72.6,86.2,92.7,history
Q2 2012,424468.0,413777.0,95.8,8.0,188396.2,300155.0,76.4,,,,76.6,0.5,298.6,809.8,0.8,-0.4,-3.8,86.5,109.0,20.0,107.1,127.5,95.1,95.9,94.3,65.7,97.4,11.3,0.3,95.8,91.3,91.4,8.2,61.7,0.3,75.4,64.5,208.4,628.8,72.8,12.5,57.1,88.5,3.2,66.1,77.2,73.4,86.8,93.4,history
Q3 2012,429319.0,423666.0,96.1,7.9,194009.8,301926.0,76.1,,,,79.4,0.5,260.9,745.2,0.9,0.1,-3.4,87.2,109.9,16.2,109.6,127.3,95.0,96.2,94.5,64.8,97.3,11.5,0.0,94.8,91.0,91.5,8.0,64.1,0.3,76.6,66.9,186.2,585.1,74.2,12.5,57.5,89.2,3.3,69.2,81.8,74.8,85.6,93.8,history
