quarter,UK real GDP,UK nominal GDP,UK corporate profits,UK household income,UK residential property price index,UK commercial real estate price index - aggregate,UK equity prices,Bank Rate,Sterling IG corporate bond spread,Sterling HY corporate bond spread,Secured lending to UK individuals,Consumer credit to UK individuals,Lending to UK PNFCs,Deposit volumes,"2yr fixed mortgage rate, 75% LTV",Instant access savings rate,PPP-weighted World real GDP,World trade,Volatility index,Euro area real GDP,ECB policy rate,Euro area residential property price index,US real GDP,US equity prices,US policy rate,US residential real estate price index,US dollar IG corporate bond spread,US dollar HY corporate bond spread,China real GDP,China residential property price index,Hong Kong real GDP,Hong Kong residential property price index,India real GDP,period_kind,UK nominal GDP index
Q3 2007,429845.0,385302.0,176160.9,268733.0,89.7,,87.2,5.7,114.4,341.3,11.0,5.1,16.5,1075747.0,6.1,,74.8,77.9,21.5,96.7,3.0,98.0,88.9,68.1,5.2,96.0,132.0,402.2,47.4,,79.2,34.0,53.5,history,77.85673424924816
Q4 2007,433079.0,390339.0,179952.4,269328.0,89.6,,87.8,5.7,150.6,493.2,9.9,5.0,16.6,1097380.0,6.1,,75.4,79.0,22.1,97.2,3.0,98.5,89.2,68.4,4.5,94.4,172.2,502.6,49.0,,80.6,37.0,55.3,history,78.87454461725419
Q1 2008,433710.0,394836.0,181944.0,267426.0,88.2,,79.8,5.4,205.4,725.5,8.8,5.6,14.3,1122517.0,5.8,,76.0,80.1,26.1,97.7,3.0,99.5,88.6,61.8,3.2,92.4,241.9,733.0,50.4,,81.7,40.9,55.6,history,79.7832389243662
Q2 2008,430887.0,393634.0,183078.6,270537.0,84.0,,81.1,5.0,216.7,739.3,7.2,5.7,13.2,1138524.0,6.3,,76.7,81.3,20.7,97.4,3.0,99.6,89.0,62.7,2.1,89.7,253.1,689.6,51.6,,80.8,41.2,56.2,history,79.54035465548725
Q3 2008,423618.0,390964.0,180707.5,269388.0,79.4,,72.4,5.0,243.3,872.6,4.9,4.7,9.0,1141435.0,6.1,,76.8,80.1,25.0,96.9,3.3,99.1,88.6,57.3,2.0,87.2,313.7,831.9,51.9,,79.9,40.3,56.7,history,79.00083635440008
Q4 2008,414037.0,384818.0,175685.4,272876.0,75.7,,56.7,3.4,409.3,1927.8,3.1,3.7,3.8,1168933.0,5.2,,76.5,76.5,58.3,95.2,2.0,97.9,86.7,41.7,1.1,84.0,574.2,1760.2,52.5,,78.3,35.3,56.8,history,77.75893392800239
Q1 2009,407291.0,378609.0,171761.3,266004.0,73.1,,54.0,1.1,491.5,2322.9,1.6,2.4,2.8,1165193.0,4.2,,76.1,72.9,44.9,92.3,0.5,96.5,85.5,37.1,0.3,80.8,530.4,1695.2,53.5,,75.6,35.3,55.7,history,76.50430129450041
Q2 2009,406353.0,377963.0,165636.1,275581.0,73.0,,57.8,0.5,442.5,1907.2,0.8,1.1,-1.2,1165664.0,4.2,,75.8,69.3,33.1,92.1,0.3,95.2,85.4,40.8,0.3,79.6,414.3,1279.3,55.7,,78.3,38.3,59.0,history,76.37376615498643
Q3 2009,406641.0,380205.0,167687.8,277402.0,75.5,,64.2,0.5,287.0,1132.9,0.6,-0.6,-3.2,1170121.0,4.4,,76.2,69.1,25.5,92.4,0.3,95.0,85.7,45.5,0.3,79.8,253.5,903.2,57.3,,78.7,41.5,60.5,history,76.82679987447611
Q4 2009,408298.0,382682.0,166100.8,282124.0,77.4,,71.3,0.5,228.5,766.8,0.7,-1.2,-2.5,1173325.0,4.2,,77.6,72.4,23.0,92.9,0.3,95.4,86.5,49.8,0.3,79.6,203.5,718.7,58.7,,80.2,43.4,61.8,history,77.32731928713264
Q1 2010,410542.0,387526.0,171972.2,284260.0,78.3,,73.8,0.5,189.5,626.6,0.8,-1.8,-4.3,1186486.0,3.9,,78.9,75.7,20.2,93.3,0.3,95.4,86.9,51.4,0.3,78.8,170.3,620.5,60.0,,81.7,46.0,63.4,history,78.30613076670804
Q2 2010,414699.0,393419.0,175893.7,287121.0,78.9,,73.5,0.5,198.9,570.0,0.8,-2.2,-4.1,1196089.0,3.8,,80.2,78.9,26.3,94.2,0.3,96.1,87.8,51.9,0.3,78.7,175.5,623.6,61.6,,83.1,47.9,64.9,history,79.49691029790907
Q3 2010,417024.0,394272.0,174550.0,290613.0,78.2,,72.9,0.5,212.8,572.8,0.8,-1.9,-3.4,1199489.0,3.8,,81.2,81.2,24.3,94.6,0.3,96.3,88.3,50.1,0.3,77.5,184.3,652.8,63.0,,83.9,50.4,66.8,history,79.66927326076576
Q4 2010,417507.0,397222.0,177872.8,289818.0,77.1,,79.3,0.5,209.9,569.1,0.5,-1.3,-3.5,1210436.0,3.6,,82.0,82.5,19.3,95.1,0.3,97.0,88.9,55.1,0.3,76.6,169.9,570.0,64.5,,85.2,53.1,68.4,history,80.26537026009429
