quarter,UK real GDP,UK nominal GDP,UK CPI,UK unemployment rate,UK corporate profits,UK household income,UK residential property price index,UK commercial real estate price index - aggregate,UK commercial real estate price index - prime,UK commercial real estate price index - secondary,UK equity prices,Bank Rate,Sterling IG corporate bond spread,Sterling HY corporate bond spread,Secured lending to UK individuals,Consumer credit to UK individuals,Lending to UK PNFCs,UK aggregate household deposit growth,PPP-weighted World real GDP,MER-weighted world import volumes,Oil price,Volatility index,GBP-EUR exchange rate index,GBP-USD exchange rate index,Euro area real GDP,France real GDP,Germany real GDP,Ireland real GDP,Euro area consumer price index,Euro area unemployment rate,ECB policy rate,Euro area residential property price index,Euro area commercial property price index,US real GDP,US unemployment rate,US equity prices,US policy rate,US residential real estate price index,US commercial real estate price index,US dollar IG corporate bond spread,US dollar HY corporate bond spread,China real GDP,China household income growth,China residential property price index,Hong Kong real GDP,Hong Kong unemployment rate,Hong Kong residential property price index,Hong Kong commercial real estate price index,India real GDP,Singapore real GDP,Singapore unemployment rate,PPP-weighted rest of world real GDP,period_kind,UK nominal GDP index
Q1 2012,472809,421447,95.1,8.2,196050,304422,72.4,,,,74.3,0.5,297.0,820.0,0.7,-0.5,-2.8,3.4,77.8,83.4,118.5,18.3,103.1,122.1,89.9,91.2,89.6,54.2,92,10.9,0.25,90.1,81,83.8,8.3,43.6,0.1,64.4,59.9,213.0,625.0,59.2,14,51.5,86.3,3.3,48.6,58.4,60.8,78.5,2.1,83.5,history,78.51859718154516
Q2 2012,472114,423697,95.8,8,199849,305843,72.8,,,,71.2,0.5,298.0,808.0,0.8,-0.4,-3.8,4.3,78.4,83.7,109,20.0,106.1,122.9,89.6,91,89.8,54.9,93.3,11.3,0.25,89,81.1,84.1,8.2,43.7,0.15,65.9,59.1,208.0,629.0,60.4,12.5,51.2,86.9,3.3,53.1,62.4,61.5,79.2,1.9,84.1,history,78.93778831034302
Q3 2012,477869,432624,96.1,7.9,206882,305204,72.6,,,,73.7,0.5,260.0,743.0,0.9,0.1,-3.4,4.9,79,84.2,109.9,16.2,108.7,122.7,89.5,91.2,90,53.9,93.2,11.5,0.03,88.3,80.6,84.2,8,45.4,0.15,66.9,61,186.0,585.0,61.6,12.5,51.4,87.5,3.3,55.6,66.1,62.6,78.3,1.9,84.7,history,80.60095240224463
Q4 2012,476834,434002,97.3,7.8,209592,301579,72.9,,,,75.5,0.5,210.0,599.0,0.9,1.2,-2.8,5.2,79.5,84.2,110.5,16.8,106.5,124.8,89.2,91.1,89.6,55,93.9,11.8,0,87.9,80.3,84.3,7.8,45.9,0.16,68,61.2,154.0,542.0,62.7,11.4,52,88.5,3.3,59.3,71.8,63.3,80.4,1.9,85.2,history,80.85768368023729
Q1 2013,479357,436035,97.7,7.8,207167,305925,73.3,,,,81.7,0.5,192.0,511.0,0.7,2.4,-2.7,4.8,80.2,85,112.8,13.6,101.2,120.6,88.8,91.1,89.2,53.7,93.7,12,0,86.4,80,85.1,7.7,49.0,0.14,69.7,62.4,145.0,484.0,63.9,6,54.9,89.2,3.5,62.4,77.4,64.4,81.2,1.9,85.9,history,81.2364461535022
Q2 2013,483211,440203,98.4,7.7,205090,312980,73.9,,,,83.9,0.5,175.0,495.0,0.8,3.3,-3.3,4.9,80.9,85.9,103,14.8,101.1,119.3,89.3,91.7,90.1,55,94.6,12.1,0,86.2,80,85.2,7.5,52.2,0.12,71.9,65.4,149.0,465.0,65.1,5.8,58.4,89.6,3.5,63.3,79.2,65.3,82.8,2,86.7,history,82.01297443120421
Q3 2013,487728,449241,98.7,7.6,213292,319136,74.8,,,,85.7,0.5,169.0,487.0,0.9,4.5,-2.0,4.3,81.8,86.4,110,14.4,100.7,120.5,89.6,91.7,90.6,56.7,94.4,12,0,85.9,79.8,85.9,7.2,54.2,0.09,73.8,68.8,154.0,468.0,66.5,11.5,61.1,90.2,3.3,64.5,80.3,66.3,83.4,1.8,87.5,history,83.69681861879317
Q4 2013,490859,454857,99.3,7.2,214737,323177,76.1,,,,87.1,0.5,148.0,422.0,1.1,4.9,-0.3,4.0,82.5,86.9,109.4,14.2,102.3,125.8,89.8,92.2,90.9,56.2,94.7,11.9,0,85.8,79.7,86.5,6.9,57.4,0.09,75.3,70.3,142.0,430.0,67.5,7.9,62.9,91,3.3,64.4,80,67.8,84.2,1.9,88,history,84.74311967627266
Q1 2014,494629,459591,99.4,6.8,217087,327199,78,,,,88.6,0.5,139.0,358.0,1.4,5.4,-1.3,4.0,83.1,87.6,107.9,14.8,103.9,128.6,90.2,92.3,91.8,58.2,94.3,11.9,0,85.6,79.6,86.3,6.7,59.5,0.07,76.4,69.5,124.0,394.0,68.7,9.8,63.9,91.8,3.2,64.1,80.6,68.6,84.8,2.1,88.7,history,85.62509781126339
Q2 2014,497849,463641,100.1,6.3,223995,328696,79.9,,,,89.2,0.5,133.0,327.0,1.7,5.7,0.3,3.6,83.8,88.2,109.8,12.7,105.6,130.8,90.4,92.4,91.8,60.2,95.1,11.6,-0.02,85.9,80.7,87.5,6.2,61.6,0.09,77,71.3,112.0,365.0,70,9.3,64.1,91.7,3.2,65,81.3,70.1,85.7,1.9,89,history,86.37964184309955
Q3 2014,500658,468959,100.1,6,228112,329245,81.5,,,,89.0,0.5,135.0,375.0,1.9,6.1,0.0,3.7,84.6,89.1,102.2,13.0,108.4,129.7,90.8,92.8,92.3,61.1,94.7,11.5,-0.12,85.9,81.4,88.5,6.1,64.0,0.09,77.7,72.2,112.0,389.0,71.2,8.8,62.5,93.1,3.3,68.6,82.2,71.4,86.4,1.9,89.4,history,87.37042336440936
Q4 2014,503589,470817,100.2,5.7,228452,331462,82.6,,,,86.3,0.5,146.0,442.0,1.9,6.6,-1.5,4.1,85.3,89.5,75.8,16.0,109,123,91.2,92.9,93,60.8,94.9,11.5,-0.2,86,81.3,89,5.7,65.2,0.1,78.7,75,133.0,469.0,72.4,7.9,61.1,93.4,3.3,72,82.9,72.5,87.8,1.9,89.9,history,87.71658208321223
Q1 2015,506314,473838,99.5,5.5,226466,337552,83.3,,,,90.3,0.5,136.0,413.0,1.9,7.1,0.0,3.5,86,89.5,53.9,16.6,115.7,117.7,91.8,93.4,92.5,75,94,11.2,-0.2,86.1,81.5,89.9,5.5,66.9,0.11,79.6,79.6,143.0,490.0,73.8,8.3,61.1,94,3.3,75.9,83.8,73.7,87.4,1.8,90.4,history,88.2794160388115
