quarter,UK real GDP,UK nominal GDP,UK CPI,UK unemployment rate,UK corporate profits,UK corporate profits – Energy extraction sector,UK corporate profits – Non-energy extraction sectors,UK household income,UK residential property price index,UK commercial real estate price index - aggregate,UK equity prices,Bank Rate,Sterling IG corporate bond spread,Sterling HY corporate bond spread,Secured lending to UK individuals,Consumer credit to UK individuals,Lending to UK PNFCs,UK aggregate retail deposits,PPP-weighted world real GDP,MER-weighted world import volumes,Oil price,UK natural gas price,Volatility index,GBP-EUR exchange rate index,GBP-USD exchange rate index,Euro area real GDP,France real GDP,Germany real GDP,Euro area consumer price index,Euro area unemployment rate,ECB policy rate,Euro area residential property price index,Euro area commercial property price index,US real GDP,US unemployment rate,US equity prices,US policy rate,US residential real estate price index,US commercial real estate price index,US dollar IG corporate bond spread,US dollar HY corporate bond spread,China real GDP,China residential property price index,Hong Kong real GDP,Hong Kong unemployment rate,Hong Kong residential property price index,Hong Kong commercial real estate price index,India real GDP,Singapore real GDP,Singapore unemployment rate,PPP-weighted rest of world real GDP,period_kind,UK nominal GDP index
Q3 2016,585856,500801,74.6,4.8,242473,2385,240088,343064,73.2,,81.9,0.34,154.0,511.0,3.3,10.4,3.8,6.8,78.6,79.3,46.3,31.1,13.2,95.5,103.7,89.7,90.8,95.1,79.2,10,-0.4,71,102.5,81.6,4.9,36.6,0.5,56,82.5,146.0,536.0,65.4,80.6,94.3,3.4,99.3,121.1,66.5,76.8,2.1,83,history,69.10230653324577
Q4 2016,589476,507451,75.1,4.7,248482,2693,245789,346287,73.9,,83.8,0.25,151.0,469.0,3.1,10.7,3.1,5.8,79.4,80.9,49.5,45.8,14.0,96.3,98.2,90.4,91.2,95.5,79.5,9.8,-0.4,71.7,102,82,4.8,37.0,0.55,56.9,82.8,135.0,463.0,66.4,82.2,95.4,3.3,105.4,125.8,67.4,78.1,2.2,83.8,history,70.01989722984197
Q1 2017,594423,513814,75.4,4.6,250534,2806,247728,344263,74.8,,88.0,0.25,145.0,427.0,2.9,10.3,3.1,4.9,80.1,81.9,53.7,48.2,11.7,96.7,99.8,91,91.9,96.7,79.4,9.5,-0.4,72.5,102.3,82.4,4.6,39.3,0.8,57.7,81,125.0,393.0,67.5,83.1,95.9,3.3,108.5,134.6,68,78.6,2.3,84.5,history,70.897886643743
Q2 2017,598176,517656,76.3,4.4,249990,2637,247353,354777,75.7,,90.1,0.25,138.0,397.0,3.2,10.2,3.1,3.7,80.9,83.9,49.8,40.1,11.5,94.1,103.7,91.7,92.7,97.5,80.4,9.2,-0.4,73.2,104.2,82.9,4.4,40.6,1.05,58.4,87.2,120.0,380.0,68.7,84.9,96.8,3.2,114.8,140.1,69.4,78.9,2.2,85.2,history,71.42801949431784
Q3 2017,601961,521257,76.7,4.3,252513,2534,249979,356212,76.7,,90.0,0.25,128.0,369.0,3.4,10.4,2.9,2.9,81.7,84,52.7,41.6,10.9,93.8,107.1,92.4,93.4,98.2,80.3,9,-0.4,74.1,107.7,83.6,4.3,41.7,1.25,59.3,85.3,112.0,375.0,69.8,85.6,97.6,3.1,116.9,141.7,70.5,80.8,2.1,85.9,history,71.92489830611377
Q4 2017,606396,529755,77.3,4.4,259452,3102,256350,356954,77.3,,91.5,0.41,124.0,350.0,3.5,10.3,3.7,2.7,82.5,85.3,61.8,52.3,10.3,93.1,107.8,93.1,93.9,99.1,80.6,8.7,-0.4,75,108.4,84.5,4.2,44.1,1.3,60.3,86.7,102.0,359.0,70.9,86.4,98.7,3,119.9,148.1,71.8,81.6,2.1,86.5,history,73.09748262786937
Q1 2018,606785,531131,77.5,4.2,254965,3597,251368,364714,78,,90.1,0.5,122.0,356.0,3.4,9.7,2.7,2.5,83.4,86.5,66.8,56.6,17.2,94.3,112,93.1,93.9,98.7,80.4,8.6,-0.4,76,107.8,85.2,4,46.2,1.53,61.3,87.6,100.0,351.0,72.2,87.2,100.1,2.9,125.5,151.5,73.4,82.1,2.1,87.3,history,73.28734801110491
Q2 2018,607775,535707,78.1,4,260054,4429,255625,363620,78.7,,92.5,0.5,138.0,402.0,3.4,9.7,2.5,2.5,84,87,73.8,53.9,15.3,93.5,105.4,93.6,94,99.4,81.8,8.3,-0.4,76.8,109.4,85.6,3.9,45.7,1.8,62,88.1,117.0,346.0,73.4,89.1,100,2.8,132.2,158.4,74.4,82.7,2.1,87.8,history,73.91876079721384
Q3 2018,609653,540205,78.6,4.1,260248,5479,254769,368811,78.8,,92.6,0.66,147.0,459.0,3.3,8.7,2.9,2.5,84.6,87.8,74.3,64.8,12.9,92.8,104.1,93.7,94.5,98.7,82,8,-0.4,77.7,111,86.2,3.8,48.2,2.01,62.7,88.5,119.0,347.0,74.4,92.2,100.2,2.8,135.3,165.8,75.4,83.4,2.1,88.3,history,74.53941086537772
Q4 2018,610481,545261,79.1,4,261537,4389,257148,372733,79,,85.3,0.75,166.0,535.0,3.3,7.4,4.7,2.8,85.1,88,67.3,60.2,21.3,92.1,101.9,94.2,95.3,99.3,82.2,7.9,-0.4,78.6,111.6,86.3,3.8,45.6,2.28,63.3,87.2,133.0,409.0,75.4,94.7,99.8,2.8,126.9,167.2,76.5,82.8,2.2,88.6,history,75.23705576191763
