quarter,UK real GDP,UK nominal GDP,UK CPI,UK unemployment rate,UK corporate profits,UK household income,UK residential property price index,UK commercial real estate price index - aggregate,UK commercial real estate price index - prime,UK commercial real estate price index - secondary,UK equity prices,Bank Rate,Sterling IG corporate bond spread,Sterling HY corporate bond spread,Secured lending to UK individuals,Consumer credit to UK individuals,Lending to UK PNFCs,UK aggregate Retail Deposit volume,PPP-weighted World real GDP,MER-weighted world import volumes,Oil price,UK natural gas price,Volatility index,GBP-EUR exchange rate index,GBP-USD exchange rate index,Euro area real GDP,France real GDP,Germany real GDP,Ireland real GDP,Euro area consumer price index,Euro area unemployment rate,ECB policy rate,Euro area residential property price index,Euro area commercial property price index,US real GDP,US unemployment rate,US equity prices,US policy rate,US residential real estate price index,US commercial real estate price index,US dollar IG corporate bond spread,US dollar HY corporate bond spread,China real GDP,China household income growth,China residential property price index,Hong Kong real GDP,Hong Kong unemployment rate,Hong Kong residential property price index,Hong Kong commercial real estate price index,India real GDP,Singapore real GDP,Singapore unemployment rate,PPP-weighted rest of world real GDP,period_kind,UK nominal GDP index
Q3 2007,484647,390759,81.7,5.3,179941,276363,65.9,,,,79.8,5.74,114.0,341.0,11.0,5.0,16.6,8.1,65.3,66.4,74.9,30.5,21.5,124.7,161,89.6,88.7,86.8,46.4,76.3,7.5,3,72.3,84.8,79.6,4.7,36.3,5.09,58.8,69,132.0,402.0,36.4,17.6,,77.1,4.1,27.1,33.7,41.7,58,1.7,71.2,history,62.02208776697057
Q4 2007,486514,394824,82.6,5.2,184881,274485,66.7,,,,80.3,5.69,151.0,493.0,9.9,5.0,16.6,8.8,66.1,67.3,88.8,46.7,22.1,119.7,162.8,90,88.9,87.4,48.1,77.2,7.4,3,72.9,86.1,80.1,4.8,36.4,4.49,57.8,69.3,172.0,503.0,37.2,16.2,,78.5,3.7,29.5,38.2,43.1,58.3,1.7,72.1,history,62.667293089874796
Q1 2008,489449,401905,82.9,5.2,188276,276036,65.9,,,,73.0,5.35,205.0,726.0,8.8,5.7,14.2,8.6,66.6,68.5,96.5,52.9,26.1,112,157.6,90.5,89.3,87.9,46.9,77.7,7.4,3,73.4,86.1,79.8,5,32.9,3.18,56.6,65.8,242.0,733.0,38,11.5,,79.6,3.3,32.6,41.6,43.4,59.8,1.9,72.8,history,63.79120425629174
Q2 2008,487244,401222,84.6,5.3,189651,280996,64.4,,,,74.1,5.03,217.0,739.0,7.2,5.8,13.2,8.4,67.1,68.8,122.2,60.8,20.7,107,157,90.2,88.8,87.7,46.2,79,7.5,3,73.3,85.1,80.2,5.3,33.4,2.09,55,62.9,253.0,690.0,38.8,18,,78.6,3.3,32.8,42.4,43.9,58.3,2.2,73.5,history,63.682797064276095
Q3 2008,479983,399608,85.7,5.9,189160,278070,61.2,,,,66.2,5,243.0,873.0,4.9,4.8,8.9,7.1,67.1,68.4,115.9,61.7,25.0,106.7,150.7,89.7,88.6,87.1,45.6,79.2,7.7,3.23,72.8,84.2,79.8,6,30.5,1.96,53.4,64.5,314.0,832.0,39.7,15.4,,77.8,3.3,32.1,41.2,44.2,57.9,2.3,73.5,history,63.42661960027427
Q4 2008,470358,396017,85.8,6.4,186494,281014,57.8,,,,51.9,3.37,409.0,1928.0,3.1,3.7,3.8,5.3,66.5,65.6,56.2,57.2,58.3,101,125.1,88.1,87.3,85.8,43.5,79,8.1,2.79,71.9,82.3,78.1,6.9,22.2,0.53,51.4,61.4,574.0,1760.0,40.6,13.8,,76.2,3.9,28.1,35.3,44.3,56.6,2.7,72.7,history,62.856648551184705
Q1 2009,461881,387161,85.4,7.1,180023,276987,55.7,,,,49.4,1.07,491.0,2323.0,1.6,2.3,2.8,3.9,65.8,60.3,45,46.7,44.9,93.3,114.2,85.3,85.8,81.7,43.5,78.5,9.1,1.1,70.9,79.8,77.2,8.3,19.7,0.19,49.5,59.4,530.0,1695.0,41.5,10.2,,73.6,5,28.2,31.1,43.5,55.1,3.2,71.8,history,61.451005663204405
Q2 2009,460431,388507,86.4,7.8,178454,281916,55.6,,,,52.8,0.5,443.0,1907.0,0.8,1.1,-1.2,2.6,66,58.3,59.3,27.6,33.1,96.5,123.4,85.3,85.8,81.9,43.6,79.1,9.6,0.27,70.3,78,77,9.3,21.7,0.18,48.8,50.6,414.0,1279.0,42.4,9.3,,76.2,5.3,30.5,34.3,46,57.4,3.2,71.6,history,61.664645605302596
Q3 2009,460722,391683,86.9,7.8,182042,283734,57,,,,58.8,0.5,287.0,1133.0,0.6,-0.6,-3.2,2.6,66.6,60,68.3,21.7,25.5,97.3,130.6,85.7,86,82.3,43.1,78.9,9.9,0.25,70.1,77.1,77.3,9.6,24.2,0.15,48.9,45.3,253.0,903.0,43.4,8.4,,76.6,5.4,33.1,38.6,47.2,59.6,3.3,71.9,history,62.16874698428016
Q4 2009,462152,389769,87.6,7.8,176811,286832,58.9,,,,65.2,0.5,229.0,767.0,0.7,-1.2,-2.5,2.6,67.7,62.5,74.9,27.9,23.0,93.8,130.1,86,86.6,82.9,41.6,79.3,10.1,0.25,70.7,76.7,78.1,9.9,26.5,0.12,48.8,44.2,204.0,719.0,44.6,7.3,,78.1,5.1,34.6,40.9,48.2,60.5,2.3,73.2,history,61.86495289128171
